source_id,title,publisher,author,published_at,url,source_type,access_status,notes
deep_report_initial_2026_05_20,Retracer le demarrage et la diffusion precoce de l'epidemie recente d'Ebola du 24 avril au 20 mai 2026,Document local,,2026-05-21,,analysis,local,Rapport local initial utilise pour la v1.
jeune_afrique_pdf_2026_05_19,Ebola ne respecte pas les frontieres,Jeune Afrique,Stanis Bujakera Tshiamala,2026-05-19,,media,local_pdf,Article PDF local sur circulation silencieuse rites funeraires et Kampala.
deep_report_2026_05_27,Epidemie d'Ebola Bundibugyo en RDC jusqu'au 27 mai 2026,Document local,,2026-05-28,,analysis,local,Rapport local de synthese jusqu'au 27 mai.
ja_2026_05_28_border,Ebola : l'Ouganda ferme ses frontieres avec la RDC alors que la guerre dans l'Est favorise la propagation de l'epidemie,Jeune Afrique,Jeune Afrique,2026-05-28,,media,user_provided,Article fourni par l'utilisateur le 28 mai.
ap_2026_05_25_uganda_7,Ugandan health officials report new Ebola virus infections bringing cases to 7,Associated Press,,2026-05-25,https://apnews.com/article/8630b816e3f40f950fd90e44b0b3395c,media,web,Confirme le total ougandais de 7 cas au 25 mai.
ap_2026_05_27_uganda_border,Uganda closes its border with Congo where suspected cases of a rare Ebola type are surging,Associated Press,,2026-05-27,https://apnews.com/article/b96734598ea95b1cdb71986c8b1adf43,media,web,Fermeture frontaliere ougandaise et citation Diana Atwine.
guardian_2026_05_27_ceasefire,WHO chief calls for DRC ceasefire to tackle Ebola outbreak,The Guardian,,2026-05-27,https://www.theguardian.com/world/2026/may/27/who-chief-tedros-calls-for-drc-ceasefire-ebola,media,web,Appel au cessez-le-feu par Tedros.
un_geneva_2026_05_27_collision,Ebola outbreak in DR Congo collides with conflict and hunger WHO warns,UN Geneva,,2026-05-27,https://www.ungeneva.org/en/news-media/news/2026/05/119037/ebola-outbreak-dr-congo-collides-conflict-and-hunger-who-warns,official,web,Resume OMS sur collision maladie conflit deplacements et riposte.
ap_2026_05_28_aid,Aid supplies reach heart of Congo Ebola outbreak as WHO head travels to Kinshasa,Associated Press,,2026-05-28,https://apnews.com/article/acac5c8afc134cf1d6c81e680247ff6b,media,web,Approvisionnement aide et manque d'equipement au coeur de la flambée.
elpais_2026_05_28_238,La republica del Congo eleva a 238 las muertes por la epidemia de ebola en el este del pais,El Pais,,2026-05-28,https://elpais.com/sociedad/2026-05-28/la-republica-del-congo-eleva-a-238-las-muertes-por-la-epidemia-de-ebola-en-el-este-del-pais.html,media,web,Signale 238 deces suspects selon gouvernement congolais; a recouper.
who_2026_05_22_item2,Ebola Bundibugyo Virus Disease,OMS,,2026-05-22,https://apps.who.int/gb/MSPI/pdf_files/2026/05/Item2_22-05.pdf,official,web_pdf,Point OMS donnees au 22 mai.
africacdc_2026_05_29,Bundibugyo Virus Disease Outbreak - Daily Key Updates 29 May 2026,Africa CDC,Epidemic Intelligence Unit,2026-05-29,,official,user_provided,Rapport quotidien Africa CDC fourni par l'utilisateur.
africacdc_2026_05_30,Bundibugyo Virus Disease Outbreak - Daily Key Updates 30 May 2026,Africa CDC,Epidemic Intelligence Unit,2026-05-30,,official,user_provided,Rapport quotidien Africa CDC fourni par l'utilisateur.
africacdc_2026_05_31,Bundibugyo Virus Disease Outbreak - Daily Key Updates 31 May 2026,Africa CDC,Epidemic Intelligence Unit,2026-05-31,,official,user_provided,Rapport quotidien Africa CDC fourni par l'utilisateur.
